ステーション名,住所,クラス,車種,コメント
カーサーあざみ野,神奈川県横浜市青葉区黒須田26,ベーシック,フィット（ハイブリッド）,
クラスペディアあざみ野,神奈川県横浜市青葉区あざみ野1,ベーシック,オーラ e-POWER,ジュニアシートなし
グランディアテラス青葉台,神奈川県横浜市青葉区榎が丘 47,ベーシック,ソリオ,
グランディアテラス青葉台,神奈川県横浜市青葉区榎が丘 47,ベーシック,ヤリス（ハイブリッド）,ジュニアシートなし
グランディアテラス青葉台,神奈川県横浜市青葉区榎が丘 47,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年） ジュニアシートなし
グランディアテラス青葉台,神奈川県横浜市青葉区榎が丘 47,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
グランディアテラス青葉台,神奈川県横浜市青葉区榎が丘 47,ベーシック,ルーミー 1000,
グランディアテラス青葉台,神奈川県横浜市青葉区榎が丘 47,ミドル,シエンタ（ハイブリッド）,ジュニアシートなし
グランディアテラス青葉台,神奈川県横浜市青葉区榎が丘 47,プレミアム,セレナ,車両のトラブル、事故、無断延長などでご利用いただけない場合、同一車種での代替車両がご提供できません。あらかじめご了承ください。ジュニアシートなし
サンハイツあざみ野,神奈川県横浜市青葉区あざみ野2-34,ベーシック,ヤリス（ハイブリッド）,
サンライズあざみ野,神奈川県横浜市青葉区あざみ野1-20,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズあざみ野南,神奈川県横浜市青葉区あざみ野南3-10,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年） ジュニアシートなし
タイムズあざみ野南,神奈川県横浜市青葉区あざみ野南3-10,ベーシック,ヤリスクロス（ハイブリッド）,
タイムズあざみ野第５（ＥＶ）,神奈川県横浜市青葉区美しが丘5-34,ミドル,リーフ,ジュニアシートなし
タイムズあざみ野第７,神奈川県横浜市青葉区あざみ野1-4,ベーシック,アクア（ハイブリッド）,NHP10型（2011年-2021年）
タイムズあざみ野第８,神奈川県横浜市青葉区新石川1-19,ベーシック,ライズ,A200A型（2019年-2021年）
タイムズあざみ野第８,神奈川県横浜市青葉区新石川1-19,ミドル,CX-5 2000,
タイムズあざみ野第８,神奈川県横浜市青葉区新石川1-19,プレミアム,ノア,R80型（2014年-2022年） 車両のトラブル、事故、無断延長などでご利用いただけない場合、同一車種での代替車両がご提供できません。あらかじめご了承ください。
タイムズあざみ野２丁目,神奈川県横浜市青葉区あざみ野2-32,ミドル,フリード,ジュニアシートなし
タイムズたまプラーザ第１２,神奈川県横浜市青葉区美しが丘2-17,ベーシック,ノート e-POWER,
タイムズたまプラーザ第１２,神奈川県横浜市青葉区美しが丘2-17,ミドル,C-HR（ハイブリッド）,
タイムズたまプラーザ第１４,神奈川県横浜市青葉区新石川2-4,ベーシック,ルークス,
タイムズたまプラーザ第１４,神奈川県横浜市青葉区新石川2-4,ベーシック,フィット,ジュニアシートなし
